country,region,income_group,le_1960,le_2013
Aruba,Latin America & Caribbean,High income: nonOECD,65.56936585,75.33217073
Afghanistan,South Asia,Low income,31.58004878,60.93141463
Angola,Sub-Saharan Africa,Upper middle income,32.98482927,51.86617073
Albania,Europe & Central Asia,Upper middle income,62.25436585,77.5372439
United Arab Emirates,Middle East & North Africa,High income: nonOECD,52.24321951,77.13129268
Argentina,Latin America & Caribbean,High income: nonOECD,65.21553659,76.18729268
Armenia,Europe & Central Asia,Lower middle income,65.86346341,74.5407561
Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD,61.78273171,75.82929268
Australia,East Asia & Pacific,High income: OECD,70.81707317,82.19756098
Austria,Europe & Central Asia,High income: OECD,68.58560976,80.8902439
Azerbaijan,Europe & Central Asia,Upper middle income,60.8362439,70.69314634
Burundi,Sub-Saharan Africa,Low income,41.23604878,54.09719512
Belgium,Europe & Central Asia,High income: OECD,69.70195122,80.38536585
Benin,Sub-Saharan Africa,Low income,37.27826829,59.28756098
Burkina Faso,Sub-Saharan Africa,Low income,34.47790244,56.27502439
Bangladesh,South Asia,Lower middle income,47.02456098,70.69339024
Bulgaria,Europe & Central Asia,Upper middle income,69.24756098,74.46585366
Bahrain,Middle East & North Africa,High income: nonOECD,52.08936585,76.66987805
"Bahamas, The",Latin America & Caribbean,High income: nonOECD,62.72904878,75.07256098
Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,60.27621951,76.27990244
Belarus,Europe & Central Asia,Upper middle income,67.70809756,72.47073171
Belize,Latin America & Caribbean,Upper middle income,59.96136585,73.90487805
Bolivia,Latin America & Caribbean,Lower middle income,42.66812195,67.21736585
Brazil,Latin America & Caribbean,Upper middle income,54.69214634,73.88595122
Barbados,Latin America & Caribbean,High income: nonOECD,60.76660976,75.29641463
Brunei Darussalam,East Asia & Pacific,High income: nonOECD,62.45756098,78.56643902
Bhutan,South Asia,Lower middle income,32.35936585,68.30231707
Botswana,Sub-Saharan Africa,Upper middle income,50.5362439,47.40560976
Central African Republic,Sub-Saharan Africa,Low income,36.48263415,50.13680488
Canada,North America,High income: OECD,71.13317073,81.40112195
Switzerland,Europe & Central Asia,High income: OECD,71.31341463,82.74878049
Channel Islands,Europe & Central Asia,High income: nonOECD,70.63978049,80.25953659
Chile,Latin America & Caribbean,High income: OECD,57.02153659,79.83680488
China,East Asia & Pacific,Upper middle income,43.46580488,75.35302439
Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,36.87241463,50.75741463
Cameroon,Sub-Saharan Africa,Lower middle income,41.5237561,55.04180488
"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,41.01804878,49.94385366
"Congo, Rep.",Sub-Saharan Africa,Lower middle income,48.58163415,58.77
Colombia,Latin America & Caribbean,Upper middle income,56.7167561,73.97882927
Comoros,Sub-Saharan Africa,Low income,43.44195122,60.8574878
Cabo Verde,Sub-Saharan Africa,Lower middle income,49.00136585,74.87068293
Costa Rica,Latin America & Caribbean,Upper middle income,61.60636585,79.921
Cuba,Latin America & Caribbean,Upper middle income,63.90465854,79.23926829
Cyprus,Europe & Central Asia,High income: nonOECD,69.59392683,79.80431707
Czech Republic,Europe & Central Asia,High income: OECD,70.34878049,78.27804878
Germany,Europe & Central Asia,High income: OECD,69.31295122,81.04390244
Djibouti,Middle East & North Africa,Lower middle income,44.02126829,61.78695122
Denmark,Europe & Central Asia,High income: OECD,72.17658537,80.30243902
Dominican Republic,Latin America & Caribbean,Upper middle income,51.84526829,73.45095122
Algeria,Middle East & North Africa,Upper middle income,46.13512195,71.00965854
Ecuador,Latin America & Caribbean,Upper middle income,53.12443902,76.46507317
"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,48.01370732,71.13292683
Eritrea,Sub-Saharan Africa,Low income,37.36290244,62.75463415
Spain,Europe & Central Asia,High income: OECD,69.10926829,82.42682927
Estonia,Europe & Central Asia,High income: OECD,67.90597561,76.42439024
Ethiopia,Sub-Saharan Africa,Low income,38.40570732,63.61734146
Finland,Europe & Central Asia,High income: OECD,68.8197561,80.83170732
Fiji,East Asia & Pacific,Upper middle income,55.9584878,69.923
France,Europe & Central Asia,High income: OECD,69.86829268,81.96829268
"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,57.58658537,68.96097561
Gabon,Sub-Saharan Africa,Upper middle income,39.55780488,63.441
United Kingdom,Europe & Central Asia,High income: OECD,71.12682927,80.95609756
Georgia,Europe & Central Asia,Lower middle income,63.43185366,74.0795122
Ghana,Sub-Saharan Africa,Lower middle income,45.83146341,61.09863415
Guinea,Sub-Saharan Africa,Low income,34.88639024,56.09165854
"Gambia, The",Sub-Saharan Africa,Low income,32.04221951,58.83134146
Guinea-Bissau,Sub-Saharan Africa,Low income,42.14541463,54.27170732
Equatorial Guinea,Sub-Saharan Africa,High income: nonOECD,36.73304878,53.11456098
Greece,Europe & Central Asia,High income: OECD,68.16390244,80.63414634
Grenada,Latin America & Caribbean,Upper middle income,59.81592683,72.74134146
Guatemala,Latin America & Caribbean,Lower middle income,45.53163415,71.99282927
Guam,East Asia & Pacific,High income: nonOECD,61.22634146,78.87512195
Guyana,Latin America & Caribbean,Lower middle income,58.23260976,66.20790244
"Hong Kong SAR, China",East Asia & Pacific,High income: nonOECD,66.99970732,83.83170732
Honduras,Latin America & Caribbean,Lower middle income,46.28831707,73.80304878
Croatia,Europe & Central Asia,High income: nonOECD,64.60865854,77.12682927
Haiti,Latin America & Caribbean,Low income,42.159,63.05885366
Hungary,Europe & Central Asia,High income: OECD,68.00317073,75.26829268
Indonesia,East Asia & Pacific,Lower middle income,44.8065122,70.81743902
India,South Asia,Lower middle income,41.38363415,66.4562439
Ireland,Europe & Central Asia,High income: OECD,69.6917561,81.04390244
"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,44.9455122,74.0687561
Iraq,Middle East & North Africa,Upper middle income,48.03068293,69.47168293
Iceland,Europe & Central Asia,High income: OECD,73.42865854,83.11707317
Italy,Europe & Central Asia,High income: OECD,69.12390244,82.2902439
Jamaica,Latin America & Caribbean,Upper middle income,64.19182927,73.46892683
Jordan,Middle East & North Africa,Upper middle income,52.68526829,73.90141463
Japan,East Asia & Pacific,High income: OECD,67.66609756,83.33195122
Kazakhstan,Europe & Central Asia,Upper middle income,58.36758537,70.45
Kenya,Sub-Saharan Africa,Lower middle income,46.36241463,61.68397561
Kyrgyz Republic,Europe & Central Asia,Lower middle income,56.12807317,70.20243902
Cambodia,East Asia & Pacific,Low income,41.20129268,71.74756098
Kiribati,East Asia & Pacific,Lower middle income,46.875,68.84907317
"Korea, Rep.",East Asia & Pacific,High income: OECD,53.00131707,81.4597561
Kuwait,Middle East & North Africa,High income: nonOECD,60.34795122,74.4627561
Lao PDR,East Asia & Pacific,Lower middle income,43.19292683,68.24941463
Lebanon,Middle East & North Africa,Upper middle income,63.28012195,80.12887805
Liberia,Sub-Saharan Africa,Low income,34.78317073,60.53187805
Libya,Middle East & North Africa,Upper middle income,42.64119512,75.36168293
St. Lucia,Latin America & Caribbean,Upper middle income,57.3037561,74.79195122
Sri Lanka,South Asia,Lower middle income,59.74714634,74.24029268
Lesotho,Sub-Saharan Africa,Lower middle income,46.51070732,49.33146341
Lithuania,Europe & Central Asia,High income: nonOECD,69.84731707,74.16341463
Luxembourg,Europe & Central Asia,High income: OECD,68.44639024,81.79756098
Latvia,Europe & Central Asia,High income: nonOECD,69.78682927,73.9804878
"Macao SAR, China",East Asia & Pacific,High income: nonOECD,64.66092683,80.3437561
Morocco,Middle East & North Africa,Lower middle income,48.44663415,70.87212195
Moldova,Europe & Central Asia,Lower middle income,61.81278049,68.8115122
Madagascar,Sub-Saharan Africa,Low income,39.97468293,64.69139024
Maldives,South Asia,Upper middle income,35.85960976,77.93536585
Mexico,Latin America & Caribbean,Upper middle income,57.06563415,77.35402439
"Macedonia, FYR",Europe & Central Asia,Upper middle income,60.62280488,75.18802439
Mali,Sub-Saharan Africa,Low income,28.21160976,55.0135122
Malta,Middle East & North Africa,High income: nonOECD,67.60178049,80.74634146
Myanmar,East Asia & Pacific,Lower middle income,42.73639024,65.09968293
Montenegro,Europe & Central Asia,Upper middle income,63.70560976,74.75836585
Mongolia,East Asia & Pacific,Upper middle income,48.36880488,67.54819512
Mozambique,Sub-Saharan Africa,Low income,35.00370732,50.17336585
Mauritania,Sub-Saharan Africa,Lower middle income,43.48309756,61.5117561
Mauritius,Sub-Saharan Africa,Upper middle income,58.74521951,74.46
Malawi,Sub-Saharan Africa,Low income,37.83558537,55.23470732
Malaysia,East Asia & Pacific,Upper middle income,59.47534146,75.01626829
Namibia,Sub-Saharan Africa,Upper middle income,46.88039024,64.34387805
